scenario_id,description,records,agents,times,mean_pmv,min_pmv,max_pmv,worst_ppd,error_records
young_mixed_t22p0_rh35,"Young Scholars Mixed at Ta=22.0 C, RH=35% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-2.973,-4.16,-2.52,100.0,0
young_mixed_t22p0_rh55,"Young Scholars Mixed at Ta=22.0 C, RH=55% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-2.8,-3.97,-2.35,100.0,0
young_mixed_t22p0_rh75,"Young Scholars Mixed at Ta=22.0 C, RH=75% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-2.625,-3.77,-2.18,100.0,0
young_mixed_t23p5_rh35,"Young Scholars Mixed at Ta=23.5 C, RH=35% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-2.276,-3.37,-1.82,99.9,0
young_mixed_t23p5_rh55,"Young Scholars Mixed at Ta=23.5 C, RH=55% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-2.087,-3.16,-1.64,99.6,0
young_mixed_t23p5_rh75,"Young Scholars Mixed at Ta=23.5 C, RH=75% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-1.897,-2.95,-1.45,98.9,0
young_mixed_t25p0_rh35,"Young Scholars Mixed at Ta=25.0 C, RH=35% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-1.557,-2.58,-1.12,94.9,0
young_mixed_t25p0_rh55,"Young Scholars Mixed at Ta=25.0 C, RH=55% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-1.35,-2.35,-0.92,89.6,0
young_mixed_t25p0_rh75,"Young Scholars Mixed at Ta=25.0 C, RH=75% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-1.145,-2.11,-0.72,81.6,0
young_male_t22p0_rh35,"Young Scholars Male Only at Ta=22.0 C, RH=35% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-2.742,-3.18,-2.13,99.7,0
young_male_t22p0_rh55,"Young Scholars Male Only at Ta=22.0 C, RH=55% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-2.573,-3.0,-1.99,99.1,0
young_male_t22p0_rh75,"Young Scholars Male Only at Ta=22.0 C, RH=75% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-2.405,-2.83,-1.85,98.0,0
young_male_t23p5_rh35,"Young Scholars Male Only at Ta=23.5 C, RH=35% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-2.067,-2.48,-1.53,93.1,0
young_male_t23p5_rh55,"Young Scholars Male Only at Ta=23.5 C, RH=55% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-1.883,-2.29,-1.38,88.0,0
young_male_t23p5_rh75,"Young Scholars Male Only at Ta=23.5 C, RH=75% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-1.698,-2.1,-1.22,81.1,0
young_male_t25p0_rh35,"Young Scholars Male Only at Ta=25.0 C, RH=35% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-1.371,-1.78,-0.93,66.2,0
young_male_t25p0_rh55,"Young Scholars Male Only at Ta=25.0 C, RH=55% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-1.17,-1.57,-0.76,55.0,0
young_male_t25p0_rh75,"Young Scholars Male Only at Ta=25.0 C, RH=75% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-0.971,-1.37,-0.59,43.7,0
older_shift_t22p0_rh35,"Age-Shifted +50 Years at Ta=22.0 C, RH=35% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-4.499,-6.15,-3.74,100.0,0
older_shift_t22p0_rh55,"Age-Shifted +50 Years at Ta=22.0 C, RH=55% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-4.295,-5.91,-3.55,100.0,0
older_shift_t22p0_rh75,"Age-Shifted +50 Years at Ta=22.0 C, RH=75% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-4.092,-5.68,-3.35,100.0,0
older_shift_t23p5_rh35,"Age-Shifted +50 Years at Ta=23.5 C, RH=35% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-3.653,-5.18,-2.91,100.0,0
older_shift_t23p5_rh55,"Age-Shifted +50 Years at Ta=23.5 C, RH=55% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-3.431,-4.93,-2.7,100.0,0
older_shift_t23p5_rh75,"Age-Shifted +50 Years at Ta=23.5 C, RH=75% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-3.207,-4.67,-2.48,100.0,0
older_shift_t25p0_rh35,"Age-Shifted +50 Years at Ta=25.0 C, RH=35% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-2.78,-4.2,-2.08,100.0,0
older_shift_t25p0_rh55,"Age-Shifted +50 Years at Ta=25.0 C, RH=55% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-2.538,-3.93,-1.85,100.0,0
older_shift_t25p0_rh75,"Age-Shifted +50 Years at Ta=25.0 C, RH=75% with south-facing rooms at Tr=Ta+1.5 C, east/west-exposed rooms at Tr=Ta+0.75 C, north/interior rooms at Tr=Ta.",12,12,0.0,-2.292,-3.65,-1.61,100.0,0
