cohort,cohort_label,base_ta_c,base_rh_pct,mean_pmv_delta_open_minus_cellular,pmv_range_delta_open_minus_cellular,spatial_std_delta_open_minus_cellular,worst_ppd_delta_open_minus_cellular,perimeter_core_gap_delta_open_minus_cellular
realistic_mixed,Realistic Mixed Office,20.0,35.0,0.013,-0.04,-0.003,0.0,0.201
default_male_35,Default Male Baseline,20.0,35.0,0.007,0.405,0.08,2.155,0.162
realistic_male,Realistic Male Office,20.0,35.0,0.007,0.407,0.051,1.341,0.165
female_light,Female Light Office,20.0,35.0,0.014,0.567,0.061,0.0,0.232
older_mixed,Older Mixed Office,20.0,35.0,0.01,0.032,0.02,0.0,0.201
older_male_formal,Older Male Formal,20.0,35.0,0.006,0.423,0.06,0.529,0.172
older_female_light,Older Female Light,20.0,35.0,0.015,0.63,0.068,0.0,0.253
realistic_mixed,Realistic Mixed Office,20.0,55.0,0.013,-0.029,-0.002,0.0,0.203
default_male_35,Default Male Baseline,20.0,55.0,0.007,0.407,0.081,2.718,0.163
realistic_male,Realistic Male Office,20.0,55.0,0.007,0.41,0.053,1.908,0.166
female_light,Female Light Office,20.0,55.0,0.014,0.57,0.062,0.0,0.233
older_mixed,Older Mixed Office,20.0,55.0,0.01,0.043,0.02,0.0,0.203
older_male_formal,Older Male Formal,20.0,55.0,0.005,0.425,0.062,0.926,0.172
older_female_light,Older Female Light,20.0,55.0,0.015,0.635,0.069,0.0,0.254
realistic_mixed,Realistic Mixed Office,20.0,75.0,0.013,-0.017,-0.001,0.0,0.204
default_male_35,Default Male Baseline,20.0,75.0,0.006,0.411,0.082,3.231,0.164
realistic_male,Realistic Male Office,20.0,75.0,0.007,0.411,0.055,2.522,0.168
female_light,Female Light Office,20.0,75.0,0.013,0.572,0.063,0.0,0.234
older_mixed,Older Mixed Office,20.0,75.0,0.01,0.055,0.021,0.0,0.204
older_male_formal,Older Male Formal,20.0,75.0,0.006,0.428,0.063,1.464,0.174
older_female_light,Older Female Light,20.0,75.0,0.015,0.641,0.071,0.0,0.256
realistic_mixed,Realistic Mixed Office,20.0,80.0,0.013,-0.015,-0.002,0.0,0.205
default_male_35,Default Male Baseline,20.0,80.0,0.006,0.411,0.082,3.344,0.164
realistic_male,Realistic Male Office,20.0,80.0,0.006,0.412,0.055,2.675,0.168
female_light,Female Light Office,20.0,80.0,0.013,0.573,0.064,0.0,0.235
older_mixed,Older Mixed Office,20.0,80.0,0.009,0.058,0.02,0.0,0.204
older_male_formal,Older Male Formal,20.0,80.0,0.005,0.428,0.063,1.617,0.174
older_female_light,Older Female Light,20.0,80.0,0.014,0.641,0.071,0.0,0.256
realistic_mixed,Realistic Mixed Office,22.0,35.0,0.01,0.039,0.0,-0.011,0.199
default_male_35,Default Male Baseline,22.0,35.0,0.001,0.388,0.079,3.966,0.155
realistic_male,Realistic Male Office,22.0,35.0,0.001,0.389,0.053,3.9,0.158
female_light,Female Light Office,22.0,35.0,0.013,0.565,0.071,0.021,0.234
older_mixed,Older Mixed Office,22.0,35.0,0.003,0.092,0.021,0.0,0.193
older_male_formal,Older Male Formal,22.0,35.0,0.0,0.412,0.062,3.236,0.164
older_female_light,Older Female Light,22.0,35.0,0.011,0.638,0.076,0.0,0.251
realistic_mixed,Realistic Mixed Office,22.0,55.0,0.01,0.049,0.0,-0.035,0.2
default_male_35,Default Male Baseline,22.0,55.0,0.001,0.391,0.08,3.927,0.156
realistic_male,Realistic Male Office,22.0,55.0,0.002,0.393,0.055,4.141,0.159
female_light,Female Light Office,22.0,55.0,0.013,0.567,0.073,0.073,0.235
older_mixed,Older Mixed Office,22.0,55.0,0.003,0.106,0.022,0.001,0.196
older_male_formal,Older Male Formal,22.0,55.0,0.0,0.414,0.064,3.868,0.165
older_female_light,Older Female Light,22.0,55.0,0.012,0.64,0.077,0.0,0.252
realistic_mixed,Realistic Mixed Office,22.0,75.0,0.009,0.057,0.0,-0.089,0.202
default_male_35,Default Male Baseline,22.0,75.0,0.0,0.393,0.081,3.701,0.157
realistic_male,Realistic Male Office,22.0,75.0,0.001,0.396,0.057,4.147,0.16
female_light,Female Light Office,22.0,75.0,0.012,0.571,0.075,0.205,0.237
older_mixed,Older Mixed Office,22.0,75.0,0.004,0.119,0.023,0.005,0.196
older_male_formal,Older Male Formal,22.0,75.0,-0.001,0.418,0.065,4.273,0.167
older_female_light,Older Female Light,22.0,75.0,0.011,0.643,0.079,0.002,0.254
realistic_mixed,Realistic Mixed Office,22.0,80.0,0.01,0.06,0.0,-0.109,0.202
default_male_35,Default Male Baseline,22.0,80.0,0.0,0.393,0.081,3.621,0.158
realistic_male,Realistic Male Office,22.0,80.0,0.001,0.396,0.058,4.113,0.161
