scenario_id,topology,topology_label,cohort,cohort_label,sample_id,source_room,topology_room,x,y,base_ta_c,base_rh_pct,age,gender,clo,activity,air_temp,mean_radiant_temp,humidity,air_velocity,perimeter_depth,window_depth,south_window_depth,pmv,ppd
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,RE_01,Reception,Reception,4,4,20.0,35.0,38,female,0.74,seated,20.156,20.827,35.0,0.087,0,0,9,-3.851,99.998
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,RE_02,Reception,Reception,3,6,20.0,35.0,37,male,0.97,seated,20.156,20.827,35.0,0.087,1,2,6,-2.153,83.168
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,AB_01,Admin Bay,Admin Bay,7,5,20.0,35.0,41,male,1.01,seated,20.11,20.605,35.0,0.082,1,2,8,-2.175,83.982
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,AB_02,Admin Bay,Admin Bay,5,7,20.0,35.0,41,male,0.97,seated,20.11,20.605,35.0,0.082,3,4,6,-2.282,87.693
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,AB_03,Admin Bay,Admin Bay,9,7,20.0,35.0,32,male,1.06,seated,20.11,20.605,35.0,0.082,3,4,6,-1.847,69.397
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,TW_01,Team Office West,Team Office West,10,3,20.0,35.0,40,male,0.99,seated,20.104,20.69,35.0,0.081,0,0,11,-2.201,84.968
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,TW_02,Team Office West,Team Office West,14,3,20.0,35.0,46,female,0.69,seated,20.104,20.69,35.0,0.081,0,0,15,-4.503,100.0
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,TW_03,Team Office West,Team Office West,12,5,20.0,35.0,47,male,0.93,seated,20.104,20.69,35.0,0.081,2,2,11,-2.525,93.945
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,TW_04,Team Office West,Team Office West,10,7,20.0,35.0,33,male,0.99,seated,20.104,20.69,35.0,0.081,4,4,7,-2.044,78.691
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,TE_01,Team Office East,Team Office East,17,3,20.0,35.0,34,male,0.97,seated,20.107,20.68,35.0,0.081,0,0,12,-2.12,81.889
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,TE_02,Team Office East,Team Office East,20,5,20.0,35.0,45,female,0.7,seated,20.107,20.68,35.0,0.081,2,2,7,-4.32,100.0
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,TE_03,Team Office East,Team Office East,17,7,20.0,35.0,40,female,0.78,seated,20.107,20.68,35.0,0.081,4,4,8,-3.596,99.979
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,TE_04,Team Office East,Team Office East,23,7,20.0,35.0,43,male,1.02,seated,20.107,20.68,35.0,0.081,3,3,5,-2.175,84.009
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,EO_01,Executive Office,Executive Office,28,3,20.0,35.0,35,female,0.7,seated,20.158,20.811,35.0,0.087,0,0,11,-3.902,99.999
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,EO_02,Executive Office,Executive Office,28,6,20.0,35.0,46,male,1.05,seated,20.158,20.811,35.0,0.087,1,3,8,-2.063,79.531
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,EO_03,Executive Office,Executive Office,27,9,20.0,35.0,39,female,0.71,seated,20.158,20.811,35.0,0.087,1,4,4,-3.99,99.999
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,FR_01,Focus Room,Focus Room,25,5,20.0,35.0,44,female,0.73,seated,20.108,20.579,35.0,0.082,1,1,7,-4.204,100.0
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,FR_02,Focus Room,Focus Room,24,7,20.0,35.0,38,female,0.69,seated,20.108,20.579,35.0,0.082,3,4,5,-4.258,100.0
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,PH_01,Print Hub,Print Hub,4,8,20.0,35.0,39,female,0.74,seated,20.162,20.923,35.0,0.086,2,4,5,-3.912,99.999
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,PH_02,Print Hub,Print Hub,3,11,20.0,35.0,37,male,0.99,seated,20.162,20.923,35.0,0.086,1,1,1,-2.094,80.837
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,CW_01,Collaboration West,Collaboration West,10,8,20.0,35.0,35,female,0.71,seated,20.058,20.199,35.0,0.076,4,5,6,-4.144,100.0
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,CW_02,Collaboration West,Collaboration West,12,10,20.0,35.0,32,male,0.97,seated,20.058,20.199,35.0,0.076,2,6,6,-2.179,84.138
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,CW_03,Collaboration West,Collaboration West,15,11,20.0,35.0,43,male,1.03,seated,20.058,20.199,35.0,0.076,4,6,6,-2.222,85.692
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,CE_01,Collaboration East,Collaboration East,21,8,20.0,35.0,44,male,1.0,seated,20.079,20.479,35.0,0.078,4,5,5,-2.294,88.064
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,CE_02,Collaboration East,Collaboration East,19,10,20.0,35.0,28,female,0.69,seated,20.079,20.479,35.0,0.078,2,3,3,-3.817,99.997
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,CE_03,Collaboration East,Collaboration East,16,11,20.0,35.0,46,female,0.73,seated,20.079,20.479,35.0,0.078,4,5,5,-4.223,100.0
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,MW_01,Meeting Room West,Meeting Room West,8,10,20.0,35.0,42,female,0.73,seated,20.125,20.78,35.0,0.082,2,2,2,-4.026,100.0
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,MW_02,Meeting Room West,Meeting Room West,7,12,20.0,35.0,36,female,0.76,seated,20.125,20.78,35.0,0.082,0,1,1,-3.705,99.991
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,ME_01,Meeting Room East,Meeting Room East,25,10,20.0,35.0,42,female,0.71,seated,20.16,21.215,35.0,0.084,2,2,2,-4.036,100.0
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,ME_02,Meeting Room East,Meeting Room East,24,12,20.0,35.0,53,female,0.69,seated,20.16,21.215,35.0,0.084,0,0,0,-4.515,100.0
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,SW_01,South Studio West,South Studio West,14,13,20.0,35.0,37,female,0.73,seated,20.084,20.259,35.0,0.079,1,7,7,-4.019,100.0
