scenario_id,topology,topology_label,cohort,cohort_label,base_ta_c,base_rh_pct,point_count,mean_pmv,min_pmv,max_pmv,pmv_range,spatial_std_pmv,mean_ppd,worst_ppd,cold_risk_share_pct,hot_risk_share_pct,perimeter_core_gap
cellular_office__realistic_mixed__t20p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,20.0,35.0,40,-3.178,-4.515,-1.847,2.668,0.956,92.172,100.0,100.0,0.0,-0.193
open_office__realistic_mixed__t20p0_rh35,open_office,Open Office,realistic_mixed,Realistic Mixed Office,20.0,35.0,40,-3.165,-4.441,-1.813,2.628,0.953,92.101,100.0,100.0,0.0,0.008
cellular_office__default_male_35__t20p0_rh35,cellular_office,Cellular Office,default_male_35,Default Male Baseline,20.0,35.0,40,-2.065,-2.278,-1.853,0.425,0.097,79.387,87.559,100.0,0.0,0.01
open_office__default_male_35__t20p0_rh35,open_office,Open Office,default_male_35,Default Male Baseline,20.0,35.0,40,-2.058,-2.349,-1.519,0.83,0.177,78.708,89.714,100.0,0.0,0.172
cellular_office__realistic_male__t20p0_rh35,cellular_office,Cellular Office,realistic_male,Realistic Male Office,20.0,35.0,40,-2.147,-2.525,-1.834,0.691,0.15,82.409,93.945,100.0,0.0,0.027
open_office__realistic_male__t20p0_rh35,open_office,Open Office,realistic_male,Realistic Male Office,20.0,35.0,40,-2.14,-2.599,-1.501,1.098,0.201,81.786,95.286,100.0,0.0,0.192
cellular_office__female_light__t20p0_rh35,cellular_office,Cellular Office,female_light,Female Light Office,20.0,35.0,40,-4.008,-4.551,-3.479,1.072,0.256,99.995,100.0,100.0,0.0,0.057
open_office__female_light__t20p0_rh35,open_office,Open Office,female_light,Female Light Office,20.0,35.0,40,-3.994,-4.652,-3.013,1.639,0.317,99.974,100.0,100.0,0.0,0.289
cellular_office__older_mixed__t20p0_rh35,cellular_office,Cellular Office,older_mixed,Older Mixed Office,20.0,35.0,40,-3.399,-5.021,-2.163,2.858,1.006,96.227,100.0,100.0,0.0,-0.218
open_office__older_mixed__t20p0_rh35,open_office,Open Office,older_mixed,Older Mixed Office,20.0,35.0,40,-3.389,-5.01,-2.12,2.89,1.026,95.889,100.0,100.0,0.0,-0.017
cellular_office__older_male_formal__t20p0_rh35,cellular_office,Cellular Office,older_male_formal,Older Male Formal,20.0,35.0,40,-2.512,-2.845,-2.182,0.663,0.153,93.144,98.193,100.0,0.0,0.046
open_office__older_male_formal__t20p0_rh35,open_office,Open Office,older_male_formal,Older Male Formal,20.0,35.0,40,-2.506,-2.923,-1.837,1.086,0.213,92.506,98.722,100.0,0.0,0.218
cellular_office__older_female_light__t20p0_rh35,cellular_office,Cellular Office,older_female_light,Older Female Light,20.0,35.0,40,-4.81,-5.363,-4.151,1.212,0.316,100.0,100.0,100.0,0.0,0.092
open_office__older_female_light__t20p0_rh35,open_office,Open Office,older_female_light,Older Female Light,20.0,35.0,40,-4.795,-5.513,-3.671,1.842,0.384,100.0,100.0,100.0,0.0,0.345
cellular_office__realistic_mixed__t20p0_rh55,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,20.0,55.0,40,-3.014,-4.334,-1.697,2.637,0.946,89.316,100.0,100.0,0.0,-0.191
open_office__realistic_mixed__t20p0_rh55,open_office,Open Office,realistic_mixed,Realistic Mixed Office,20.0,55.0,40,-3.001,-4.264,-1.656,2.608,0.944,89.265,100.0,100.0,0.0,0.012
cellular_office__default_male_35__t20p0_rh55,cellular_office,Cellular Office,default_male_35,Default Male Baseline,20.0,55.0,40,-1.913,-2.126,-1.701,0.425,0.097,72.519,82.096,100.0,0.0,0.011
open_office__default_male_35__t20p0_rh55,open_office,Open Office,default_male_35,Default Male Baseline,20.0,55.0,40,-1.906,-2.197,-1.365,0.832,0.178,71.933,84.814,100.0,0.0,0.174
cellular_office__realistic_male__t20p0_rh55,cellular_office,Cellular Office,realistic_male,Realistic Male Office,20.0,55.0,40,-1.993,-2.368,-1.683,0.685,0.148,76.036,90.244,100.0,0.0,0.028
open_office__realistic_male__t20p0_rh55,open_office,Open Office,realistic_male,Realistic Male Office,20.0,55.0,40,-1.986,-2.443,-1.348,1.095,0.201,75.458,92.152,100.0,0.0,0.194
cellular_office__female_light__t20p0_rh55,cellular_office,Cellular Office,female_light,Female Light Office,20.0,55.0,40,-3.84,-4.379,-3.314,1.065,0.254,99.984,100.0,100.0,0.0,0.057
open_office__female_light__t20p0_rh55,open_office,Open Office,female_light,Female Light Office,20.0,55.0,40,-3.826,-4.481,-2.846,1.635,0.316,99.938,100.0,100.0,0.0,0.29
cellular_office__older_mixed__t20p0_rh55,cellular_office,Cellular Office,older_mixed,Older Mixed Office,20.0,55.0,40,-3.226,-4.83,-2.003,2.827,0.995,94.027,100.0,100.0,0.0,-0.215
open_office__older_mixed__t20p0_rh55,open_office,Open Office,older_mixed,Older Mixed Office,20.0,55.0,40,-3.216,-4.823,-1.953,2.87,1.015,93.615,100.0,100.0,0.0,-0.012
cellular_office__older_male_formal__t20p0_rh55,cellular_office,Cellular Office,older_male_formal,Older Male Formal,20.0,55.0,40,-2.347,-2.678,-2.02,0.658,0.151,89.093,96.449,100.0,0.0,0.047
open_office__older_male_formal__t20p0_rh55,open_office,Open Office,older_male_formal,Older Male Formal,20.0,55.0,40,-2.342,-2.756,-1.673,1.083,0.213,88.403,97.375,100.0,0.0,0.219
cellular_office__older_female_light__t20p0_rh55,cellular_office,Cellular Office,older_female_light,Older Female Light,20.0,55.0,40,-4.623,-5.17,-3.971,1.199,0.313,100.0,100.0,100.0,0.0,0.092
open_office__older_female_light__t20p0_rh55,open_office,Open Office,older_female_light,Older Female Light,20.0,55.0,40,-4.608,-5.321,-3.487,1.834,0.382,99.999,100.0,100.0,0.0,0.346
cellular_office__realistic_mixed__t20p0_rh75,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,20.0,75.0,40,-2.851,-4.154,-1.547,2.607,0.936,86.045,100.0,100.0,0.0,-0.188
open_office__realistic_mixed__t20p0_rh75,open_office,Open Office,realistic_mixed,Realistic Mixed Office,20.0,75.0,40,-2.838,-4.088,-1.498,2.59,0.935,86.005,100.0,100.0,0.0,0.016
cellular_office__default_male_35__t20p0_rh75,cellular_office,Cellular Office,default_male_35,Default Male Baseline,20.0,75.0,40,-1.761,-1.973,-1.549,0.424,0.097,64.896,75.545,100.0,0.0,0.012
open_office__default_male_35__t20p0_rh75,open_office,Open Office,default_male_35,Default Male Baseline,20.0,75.0,40,-1.755,-2.046,-1.211,0.835,0.179,64.441,78.776,100.0,0.0,0.176
cellular_office__realistic_male__t20p0_rh75,cellular_office,Cellular Office,realistic_male,Realistic Male Office,20.0,75.0,40,-1.84,-2.211,-1.531,0.68,0.146,68.769,85.293,100.0,0.0,0.028
open_office__realistic_male__t20p0_rh75,open_office,Open Office,realistic_male,Realistic Male Office,20.0,75.0,40,-1.833,-2.286,-1.195,1.091,0.201,68.276,87.815,100.0,0.0,0.196
cellular_office__female_light__t20p0_rh75,cellular_office,Cellular Office,female_light,Female Light Office,20.0,75.0,40,-3.671,-4.208,-3.149,1.059,0.252,99.953,100.0,100.0,0.0,0.057
open_office__female_light__t20p0_rh75,open_office,Open Office,female_light,Female Light Office,20.0,75.0,40,-3.658,-4.31,-2.679,1.631,0.315,99.859,100.0,100.0,0.0,0.291
cellular_office__older_mixed__t20p0_rh75,cellular_office,Cellular Office,older_mixed,Older Mixed Office,20.0,75.0,40,-3.053,-4.638,-1.844,2.794,0.984,91.122,100.0,100.0,0.0,-0.212
open_office__older_mixed__t20p0_rh75,open_office,Open Office,older_mixed,Older Mixed Office,20.0,75.0,40,-3.043,-4.635,-1.786,2.849,1.005,90.654,100.0,100.0,0.0,-0.008
cellular_office__older_male_formal__t20p0_rh75,cellular_office,Cellular Office,older_male_formal,Older Male Formal,20.0,75.0,40,-2.183,-2.51,-1.858,0.652,0.15,83.733,93.643,100.0,0.0,0.047
open_office__older_male_formal__t20p0_rh75,open_office,Open Office,older_male_formal,Older Male Formal,20.0,75.0,40,-2.177,-2.589,-1.509,1.08,0.213,83.052,95.107,100.0,0.0,0.221
cellular_office__older_female_light__t20p0_rh75,cellular_office,Cellular Office,older_female_light,Older Female Light,20.0,75.0,40,-4.436,-4.977,-3.791,1.186,0.31,100.0,100.0,100.0,0.0,0.091
open_office__older_female_light__t20p0_rh75,open_office,Open Office,older_female_light,Older Female Light,20.0,75.0,40,-4.421,-5.129,-3.302,1.827,0.381,99.996,100.0,100.0,0.0,0.347
cellular_office__realistic_mixed__t20p0_rh80,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,20.0,80.0,40,-2.81,-4.109,-1.509,2.6,0.934,85.174,100.0,100.0,0.0,-0.188
open_office__realistic_mixed__t20p0_rh80,open_office,Open Office,realistic_mixed,Realistic Mixed Office,20.0,80.0,40,-2.797,-4.044,-1.459,2.585,0.932,85.133,100.0,100.0,0.0,0.017
cellular_office__default_male_35__t20p0_rh80,cellular_office,Cellular Office,default_male_35,Default Male Baseline,20.0,80.0,40,-1.723,-1.935,-1.511,0.424,0.097,62.907,73.759,100.0,0.0,0.012
open_office__default_male_35__t20p0_rh80,open_office,Open Office,default_male_35,Default Male Baseline,20.0,80.0,40,-1.717,-2.008,-1.173,0.835,0.179,62.488,77.103,100.0,0.0,0.176
cellular_office__realistic_male__t20p0_rh80,cellular_office,Cellular Office,realistic_male,Realistic Male Office,20.0,80.0,40,-1.801,-2.171,-1.494,0.677,0.146,66.844,83.859,100.0,0.0,0.028
open_office__realistic_male__t20p0_rh80,open_office,Open Office,realistic_male,Realistic Male Office,20.0,80.0,40,-1.795,-2.246,-1.157,1.089,0.201,66.376,86.534,100.0,0.0,0.196
cellular_office__female_light__t20p0_rh80,cellular_office,Cellular Office,female_light,Female Light Office,20.0,80.0,40,-3.629,-4.165,-3.108,1.057,0.251,99.939,100.0,100.0,0.0,0.057
open_office__female_light__t20p0_rh80,open_office,Open Office,female_light,Female Light Office,20.0,80.0,40,-3.616,-4.267,-2.637,1.63,0.315,99.829,100.0,100.0,0.0,0.292
cellular_office__older_mixed__t20p0_rh80,cellular_office,Cellular Office,older_mixed,Older Mixed Office,20.0,80.0,40,-3.009,-4.591,-1.804,2.787,0.982,90.286,100.0,100.0,0.0,-0.211
open_office__older_mixed__t20p0_rh80,open_office,Open Office,older_mixed,Older Mixed Office,20.0,80.0,40,-3.0,-4.589,-1.744,2.845,1.002,89.807,100.0,100.0,0.0,-0.007
cellular_office__older_male_formal__t20p0_rh80,cellular_office,Cellular Office,older_male_formal,Older Male Formal,20.0,80.0,40,-2.141,-2.468,-1.817,0.651,0.15,82.19,92.745,100.0,0.0,0.047
open_office__older_male_formal__t20p0_rh80,open_office,Open Office,older_male_formal,Older Male Formal,20.0,80.0,40,-2.136,-2.547,-1.468,1.079,0.213,81.521,94.362,100.0,0.0,0.221
cellular_office__older_female_light__t20p0_rh80,cellular_office,Cellular Office,older_female_light,Older Female Light,20.0,80.0,40,-4.389,-4.93,-3.746,1.184,0.309,100.0,100.0,100.0,0.0,0.091
open_office__older_female_light__t20p0_rh80,open_office,Open Office,older_female_light,Older Female Light,20.0,80.0,40,-4.375,-5.081,-3.256,1.825,0.38,99.994,100.0,100.0,0.0,0.347
cellular_office__realistic_mixed__t22p0_rh35,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,22.0,35.0,40,-2.335,-3.486,-1.183,2.303,0.827,76.057,99.952,100.0,0.0,-0.157
open_office__realistic_mixed__t22p0_rh35,open_office,Open Office,realistic_mixed,Realistic Mixed Office,22.0,35.0,40,-2.325,-3.457,-1.115,2.342,0.827,75.927,99.941,100.0,0.0,0.042
cellular_office__default_male_35__t22p0_rh35,cellular_office,Cellular Office,default_male_35,Default Male Baseline,22.0,35.0,40,-1.371,-1.554,-1.178,0.376,0.088,44.016,53.818,100.0,0.0,0.016
open_office__default_male_35__t22p0_rh35,open_office,Open Office,default_male_35,Default Male Baseline,22.0,35.0,40,-1.37,-1.626,-0.862,0.764,0.167,44.199,57.784,100.0,0.0,0.171
cellular_office__realistic_male__t22p0_rh35,cellular_office,Cellular Office,realistic_male,Realistic Male Office,22.0,35.0,40,-1.443,-1.772,-1.161,0.611,0.133,47.916,65.542,100.0,0.0,0.032
open_office__realistic_male__t22p0_rh35,open_office,Open Office,realistic_male,Realistic Male Office,22.0,35.0,40,-1.442,-1.847,-0.847,1.0,0.186,48.002,69.442,100.0,0.0,0.19
cellular_office__female_light__t22p0_rh35,cellular_office,Cellular Office,female_light,Female Light Office,22.0,35.0,40,-3.047,-3.515,-2.574,0.941,0.226,98.883,99.961,100.0,0.0,0.062
open_office__female_light__t22p0_rh35,open_office,Open Office,female_light,Female Light Office,22.0,35.0,40,-3.034,-3.618,-2.112,1.506,0.297,98.34,99.982,100.0,0.0,0.296
cellular_office__older_mixed__t22p0_rh35,cellular_office,Cellular Office,older_mixed,Older Mixed Office,22.0,35.0,40,-2.539,-3.952,-1.468,2.484,0.876,80.794,99.999,100.0,0.0,-0.18
open_office__older_mixed__t22p0_rh35,open_office,Open Office,older_mixed,Older Mixed Office,22.0,35.0,40,-2.536,-3.963,-1.387,2.576,0.897,80.412,99.999,100.0,0.0,0.013
cellular_office__older_male_formal__t22p0_rh35,cellular_office,Cellular Office,older_male_formal,Older Male Formal,22.0,35.0,40,-1.769,-2.06,-1.477,0.583,0.135,65.234,79.404,100.0,0.0,0.05
open_office__older_male_formal__t22p0_rh35,open_office,Open Office,older_male_formal,Older Male Formal,22.0,35.0,40,-1.769,-2.139,-1.144,0.995,0.197,65.127,82.64,100.0,0.0,0.214
cellular_office__older_female_light__t22p0_rh35,cellular_office,Cellular Office,older_female_light,Older Female Light,22.0,35.0,40,-3.764,-4.256,-3.193,1.063,0.279,99.964,100.0,100.0,0.0,0.095
open_office__older_female_light__t22p0_rh35,open_office,Open Office,older_female_light,Older Female Light,22.0,35.0,40,-3.753,-4.408,-2.707,1.701,0.355,99.881,100.0,100.0,0.0,0.346
cellular_office__realistic_mixed__t22p0_rh55,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,22.0,55.0,40,-2.15,-3.285,-1.014,2.271,0.816,71.301,99.818,100.0,0.0,-0.154
open_office__realistic_mixed__t22p0_rh55,open_office,Open Office,realistic_mixed,Realistic Mixed Office,22.0,55.0,40,-2.14,-3.257,-0.937,2.32,0.816,71.042,99.783,100.0,0.0,0.046
cellular_office__default_male_35__t22p0_rh55,cellular_office,Cellular Office,default_male_35,Default Male Baseline,22.0,55.0,40,-1.199,-1.382,-1.006,0.376,0.088,35.307,44.532,100.0,0.0,0.017
open_office__default_male_35__t22p0_rh55,open_office,Open Office,default_male_35,Default Male Baseline,22.0,55.0,40,-1.198,-1.455,-0.688,0.767,0.168,35.602,48.459,95.0,0.0,0.173
cellular_office__realistic_male__t22p0_rh55,cellular_office,Cellular Office,realistic_male,Realistic Male Office,22.0,55.0,40,-1.27,-1.594,-0.99,0.604,0.131,38.915,56.001,100.0,0.0,0.032
open_office__realistic_male__t22p0_rh55,open_office,Open Office,realistic_male,Realistic Male Office,22.0,55.0,40,-1.268,-1.67,-0.673,0.997,0.186,39.108,60.142,97.5,0.0,0.191
cellular_office__female_light__t22p0_rh55,cellular_office,Cellular Office,female_light,Female Light Office,22.0,55.0,40,-2.857,-3.321,-2.388,0.933,0.223,97.61,99.854,100.0,0.0,0.062
open_office__female_light__t22p0_rh55,open_office,Open Office,female_light,Female Light Office,22.0,55.0,40,-2.844,-3.424,-1.924,1.5,0.296,96.835,99.927,100.0,0.0,0.297
cellular_office__older_mixed__t22p0_rh55,cellular_office,Cellular Office,older_mixed,Older Mixed Office,22.0,55.0,40,-2.343,-3.736,-1.288,2.448,0.864,75.292,99.993,100.0,0.0,-0.177
open_office__older_mixed__t22p0_rh55,open_office,Open Office,older_mixed,Older Mixed Office,22.0,55.0,40,-2.34,-3.752,-1.198,2.554,0.886,74.872,99.994,100.0,0.0,0.019
cellular_office__older_male_formal__t22p0_rh55,cellular_office,Cellular Office,older_male_formal,Older Male Formal,22.0,55.0,40,-1.583,-1.871,-1.294,0.577,0.133,55.392,70.606,100.0,0.0,0.05
open_office__older_male_formal__t22p0_rh55,open_office,Open Office,older_male_formal,Older Male Formal,22.0,55.0,40,-1.583,-1.95,-0.959,0.991,0.197,55.461,74.474,100.0,0.0,0.215
cellular_office__older_female_light__t22p0_rh55,cellular_office,Cellular Office,older_female_light,Older Female Light,22.0,55.0,40,-3.553,-4.041,-2.99,1.051,0.276,99.876,100.0,100.0,0.0,0.095
open_office__older_female_light__t22p0_rh55,open_office,Open Office,older_female_light,Older Female Light,22.0,55.0,40,-3.541,-4.19,-2.499,1.691,0.353,99.697,100.0,100.0,0.0,0.347
cellular_office__realistic_mixed__t22p0_rh75,cellular_office,Cellular Office,realistic_mixed,Realistic Mixed Office,22.0,75.0,40,-1.965,-3.085,-0.844,2.241,0.806,66.304,99.426,100.0,0.0,-0.151
open_office__realistic_mixed__t22p0_rh75,open_office,Open Office,realistic_mixed,Realistic Mixed Office,22.0,75.0,40,-1.956,-3.057,-0.759,2.298,0.806,65.908,99.337,95.0,0.0,0.051
cellular_office__default_male_35__t22p0_rh75,cellular_office,Cellular Office,default_male_35,Default Male Baseline,22.0,75.0,40,-1.027,-1.21,-0.834,0.376,0.088,27.426,35.715,97.5,0.0,0.018
open_office__default_male_35__t22p0_rh75,open_office,Open Office,default_male_35,Default Male Baseline,22.0,75.0,40,-1.027,-1.283,-0.514,0.769,0.169,27.798,39.416,85.0,0.0,0.175
cellular_office__realistic_male__t22p0_rh75,cellular_office,Cellular Office,realistic_male,Realistic Male Office,22.0,75.0,40,-1.096,-1.416,-0.819,0.597,0.129,30.606,46.355,97.5,0.0,0.033
open_office__realistic_male__t22p0_rh75,open_office,Open Office,realistic_male,Realistic Male Office,22.0,75.0,40,-1.095,-1.493,-0.5,0.993,0.186,30.88,50.502,87.5,0.0,0.193
cellular_office__female_light__t22p0_rh75,cellular_office,Cellular Office,female_light,Female Light Office,22.0,75.0,40,-2.666,-3.127,-2.202,0.925,0.22,95.37,99.542,100.0,0.0,0.062
open_office__female_light__t22p0_rh75,open_office,Open Office,female_light,Female Light Office,22.0,75.0,40,-2.654,-3.231,-1.735,1.496,0.295,94.374,99.747,100.0,0.0,0.299
cellular_office__older_mixed__t22p0_rh75,cellular_office,Cellular Office,older_mixed,Older Mixed Office,22.0,75.0,40,-2.148,-3.52,-1.109,2.411,0.851,69.55,99.963,100.0,0.0,-0.173
open_office__older_mixed__t22p0_rh75,open_office,Open Office,older_mixed,Older Mixed Office,22.0,75.0,40,-2.144,-3.54,-1.01,2.53,0.874,69.08,99.968,100.0,0.0,0.023
